order | table 1 > 1 | 5 Hamburger
order | table 1 > 2 | 2 Hamburger
order | table 1 > 3 | 9 Salad
order | table 2 > 2 | 1 Coke
order | table 3 > 1 | 2 Poutine
update | received | 1
update | ready | 1
update | delivered | 1
serverReturned | table 1 > 1 | 2 Hamburger | Meat is too tough
check please! | table 1 > 1
update | received | 2
update | received | 3
update | received | 4
update | received | 5
update | ready | 2
update | ready | 3
update | ready | 4
update | ready | 5
update | delivered | 2
update | delivered | 3
update | delivered | 4
update | delivered | 5
